net_name,type,fanout
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex4_expnt_rst[10],reset,7
x_ct_core_idu_lsu_rf_pipe4_gateclk_sel,clock,6
x_ct_core_ifu_cp0_rst_inv_req_danc_10865,reset,6
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_sing_expnt_rst[1],reset,6
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_sing_expnt_rst[4],reset,6
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex4_expnt_rst[2],reset,6
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex4_expnt_rst[11],reset,6
FE_DBTN3317_x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_x_ct_vfdsu_srt_vfdsu_ex2_expnt_rst_5,reset,5
x_ct_core_cp0_ifu_rst_inv_done,reset,5
x_ct_core_idu_lsu_rf_pipe3_gateclk_sel,clock,5
LOGICAL_0,constant,5
ifu_biu_rd_burst[1],reset,5
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_x_ct_vfdsu_srt_vfdsu_ex2_expnt_rst[0],reset,5
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_sing_expnt_rst[0],reset,5
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_doub_expnt_rst[2],reset,5
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_doub_expnt_rst[3],reset,5
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_doub_expnt_rst[4],reset,5
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_doub_expnt_rst[7],reset,5
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_doub_expnt_rst[8],reset,5
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_doub_expnt_rst[11],reset,5
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_half_expnt_rst[3],reset,5
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex4_expnt_rst[12],reset,5
FE_DBTN3010_x_ct_core_cp0_yy_clk_en,clock,4
had_rtu_hw_dbgreq_gateclk,clock,4
x_ct_core_x_ct_lsu_top_pfu_sdb_create_gateclk_en,clock,4
x_ct_core_x_ct_lsu_top_x_ct_lsu_st_da_st_da_boundary_first,reset,4
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_sing_expnt_rst[8],reset,4
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_doub_expnt_rst[9],reset,4
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_doub_expnt_rst[12],reset,4
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex4_expnt_rst[0],reset,4
x_ct_core_cp0_yy_clk_en,clock,3
x_ct_core_x_ct_cp0_top_x_ct_cp0_iui_rst_tlb_inv,reset,3
x_ct_core_x_ct_idu_top_ctrl_biq_create1_gateclk_en,clock,3
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_0_sq_entry_bond_first_only,reset,3
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_1_sq_entry_bond_first_only,reset,3
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_2_sq_entry_bond_first_only,reset,3
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_4_sq_entry_bond_first_only,reset,3
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_5_sq_entry_bond_first_only,reset,3
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_7_sq_entry_bond_first_only,reset,3
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_8_sq_entry_bond_first_only,reset,3
