name,ref,status,xl,yl,xh,yh,orient
_345_,XNOR2_X1,PLACED,78280,56000,80560,58800,N
_346_,XNOR2_X1,PLACED,80180,53200,82460,56000,FS
_347_,AOI22_X1,PLACED,83600,39200,85500,42000,N
_348_,AOI21_X1,PLACED,72580,56000,74100,58800,N
_349_,AOI21_X1,PLACED,76000,56000,77520,58800,N
_350_,NOR2_X1,PLACED,87400,50400,88540,53200,N
_351_,XNOR2_X1,PLACED,88540,50400,90820,53200,N
_352_,AOI22_X1,PLACED,88160,39200,90060,42000,N
_353_,AOI21_X1,PLACED,87020,53200,88540,56000,FS
_354_,AOI21_X1,PLACED,88160,47600,89680,50400,FS
_355_,NOR2_X1,PLACED,97660,47600,98800,50400,FS
_356_,XNOR2_X1,PLACED,99180,67200,101460,70000,N
_357_,XNOR2_X1,PLACED,98800,56000,101080,58800,N
_358_,AOI22_X1,PLACED,100320,39200,102220,42000,N
_359_,AOI21_X1,PLACED,97280,50400,98800,53200,N
_360_,AOI21_X1,PLACED,97280,53200,98800,56000,FS
_361_,NOR2_X1,PLACED,114380,56000,115520,58800,N
_362_,XNOR2_X1,PLACED,103740,61600,106020,64400,N
_363_,AOI22_X1,PLACED,101460,36400,103360,39200,FS
_364_,AOI21_X1,PLACED,112100,56000,113620,58800,N
_365_,AOI21_X1,PLACED,113240,53200,114760,56000,FS
_366_,NOR2_X1,PLACED,113240,47600,114380,50400,FS
_367_,XNOR2_X1,PLACED,107540,44800,109820,47600,N
_368_,XNOR2_X1,PLACED,107920,42000,110200,44800,FS
_369_,AOI22_X1,PLACED,112100,33600,114000,36400,N
_370_,AOI21_X1,PLACED,109060,50400,110580,53200,N
_371_,AOI21_X1,PLACED,110200,53200,111720,56000,FS
_372_,NOR2_X1,PLACED,94620,44800,95760,47600,N
_373_,XNOR2_X1,PLACED,104880,42000,107160,44800,FS
_374_,AOI22_X1,PLACED,88540,36400,90440,39200,FS
_375_,AOI21_X1,PLACED,94240,42000,95760,44800,FS
_376_,AOI21_X1,PLACED,92340,44800,93860,47600,N
_377_,NOR2_X1,PLACED,121220,56000,122360,58800,N
_378_,NAND2_X1,PLACED,117040,42000,118180,44800,FS
_379_,XNOR2_X1,PLACED,114000,42000,116280,44800,FS
_380_,AOI22_X1,PLACED,111720,39200,113620,42000,N
_381_,AOI21_X1,PLACED,121220,53200,122740,56000,FS
_382_,AOI21_X1,PLACED,119700,56000,121220,58800,N
_383_,NOR2_X1,PLACED,126540,42000,127680,44800,FS
_384_,AOI21_X1,PLACED,118940,36400,120460,39200,FS
_385_,NOR2_X1,PLACED,119320,42000,120460,44800,FS
_386_,AOI22_X1,PLACED,112860,36400,114760,39200,FS
_387_,AOI21_X1,PLACED,123500,44800,125020,47600,N
_388_,AOI21_X1,PLACED,125020,42000,126540,44800,FS
_389_,NAND2_X1,PLACED,128060,33600,129200,36400,N
_390_,XNOR2_X1,PLACED,126920,36400,129200,39200,FS
_391_,AOI21_X1,PLACED,106780,30800,108300,33600,FS
_392_,AOI22_X1,PLACED,123880,28000,125780,30800,N
_393_,NOR2_X1,PLACED,126540,28000,127680,30800,N
_394_,AOI21_X1,PLACED,126160,25200,127680,28000,FS
_395_,DFF_X1,PLACED,102600,22400,109060,25200,N
_396_,DFF_X1,PLACED,91580,22400,98040,25200,N
_397_,DFF_X1,PLACED,79800,30800,86260,33600,FS
_398_,DFF_X1,PLACED,63080,30800,69540,33600,FS
_399_,DFF_X1,PLACED,65740,39200,72200,42000,N
_400_,DFF_X1,PLACED,66120,50400,72580,53200,N
_401_,DFF_X1,PLACED,76760,47600,83220,50400,FS
_402_,DFF_X1,PLACED,67640,58800,74100,61600,FS
_403_,DFF_X1,PLACED,85120,64400,91580,67200,FS
_404_,DFF_X1,PLACED,95380,58800,101840,61600,FS
_405_,DFF_X1,PLACED,105260,64400,111720,67200,FS
_406_,DFF_X1,PLACED,102600,50400,109060,53200,N
_407_,DFF_X1,PLACED,97660,44800,104120,47600,N
_408_,DFF_X1,PLACED,118940,50400,125400,53200,N
_409_,DFF_X1,PLACED,127300,47600,133760,50400,FS
_410_,DFF_X1,PLACED,128440,30800,134900,33600,FS
_411_,DFF_X1,PLACED,117420,22400,123880,25200,N
_412_,DFF_X1,PLACED,110960,28000,117420,30800,N
_413_,DFF_X1,PLACED,103360,36400,109820,39200,FS
_414_,DFF_X1,PLACED,93100,36400,99560,39200,FS
_415_,DFF_X1,PLACED,75240,22400,81700,25200,N
_416_,DFF_X1,PLACED,62320,25200,68780,28000,FS
_417_,DFF_X1,PLACED,61180,33600,67640,36400,N
_418_,DFF_X1,PLACED,62320,53200,68780,56000,FS
_419_,DFF_X1,PLACED,84740,42000,91200,44800,FS
_420_,DFF_X1,PLACED,74860,58800,81320,61600,FS
_421_,DFF_X1,PLACED,84740,61600,91200,64400,N
_422_,DFF_X1,PLACED,94240,64400,100700,67200,FS
_423_,DFF_X1,PLACED,112480,58800,118940,61600,FS
_424_,DFF_X1,PLACED,110580,50400,117040,53200,N
_425_,DFF_X1,PLACED,91200,47600,97660,50400,FS
_426_,DFF_X1,PLACED,118940,61600,125400,64400,N
_427_,DFF_X1,PLACED,127680,50400,134140,53200,N
_428_,DFF_X1,PLACED,128060,25200,134520,28000,FS
