ref_name,count,percentage
INV_X1,68,22.59
DFF_X1,34,11.3
AOI22_X1,32,10.63
NAND2_X1,24,7.97
NOR2_X1,19,6.31
OAI21_X1,17,5.65
AND2_X1,17,5.65
OAI22_X1,16,5.32
XNOR2_X1,16,5.32
OAI221_X1,15,4.98
AOI21_X1,15,4.98
OR2_X1,7,2.33
AND4_X1,5,1.66
OAI211_X1,4,1.33
OR2_X2,3,1.0
AND2_X2,2,0.66
NAND4_X1,1,0.33
NAND3_X1,1,0.33
XOR2_X1,1,0.33
OAI221_X4,1,0.33
NOR3_X1,1,0.33
AOI21_X2,1,0.33
OAI21_X2,1,0.33
